Scientific name	Authority	Status
Branta leucopsis	"(Bechstein, 1803)"	R
Branta bernicla	"(Linnaeus, 1758)"	R
Branta hrota	"(O. F. M�ller, 1776)"	NR
Branta nigricans	"(Lawrence, 1846)"	NR
Branta ruficollis	"(Pallas, 1769)"	R
Coscoroba coscoroba	"(Molina, 1782)"	R
Cygnus olor	"(Gmelin, 1789)"	R
Cygnus atratus	"(Latham, 1790)"	R
Cygnus melancoryphus	"(Molina, 1782)"	R
Cygnus cygnus	"(Linnaeus, 1758)"	R
Cygnus buccinator	"Richardson, 1832"	R
Cygnus columbianus	"(Ord, 1815)"	R
Cygnus bewickii	"Yarrell, 1830"	UR
Stictonetta naevosa	"(Gould, 1841)"	R
Hymenolaimus malacorhynchos	"(Gmelin, 1789)"	R
Tachyeres pteneres	"(Forster, 1844)"	R
Tachyeres leucocephalus	"Humphrey & Thompson, 1981"	R
Tachyeres brachypterus	"(Gmelin, 1789)"	R
Tachyeres patachonicus	"(King, 1828)"	R
Merganetta armata	"Gould, 1842"	R
Plectropterus gambensis	"(Linnaeus, 1766)"	R
Sarkidiornis melanotos	"(Pennant, 1769)"	R
Sarkidiornis sylvicola	"H. & R. Ihering, 1907"	NR
Cyanochen cyanoptera	"(R�ppell, 1845)"	R
Alopochen mauritianus	"(Newton & Gadow, 1893)"	R
Alopochen aegyptiaca	"(Linnaeus, 1766)"	R
Alopochen kervazoi	"(Cowles, 1994)"	R
Neochen jubata	"(Spix, 1825)"	R
Chloephaga melanoptera	"(Eyton, 1838)"	R
Chloephaga picta	"(Gmelin, 1789)"	R
Chloephaga hybrida	"(Molina, 1782)"	R
Chloephaga poliocephala	"Sclater, 1857"	R
Chloephaga rubidiceps	"P.L. Sclater, 1861"	R
Tadorna ferruginea	"(Pallas, 1764)"	R
Tadorna cana	"(Gmelin, 1789)"	R
Tadorna tadornoides	"Jardine & Selby, 1828"	R
Tadorna variegata	"(Gmelin, 1789)"	R
Tadorna cristata	"(Kuroda, 1917)"	R
Tadorna tadorna	"(Linnaeus, 1758)"	R
Tadorna radjah	"(Lesson, 1828)"	R
Malacorhynchus membranaceus	"(Latham, 1801)"	R
Salvadorina waigiuensis	"Rothschild & Hartert, 1894"	R
Cairina moschata	"(Linnaeus, 1758)"	R
Cairina scutulata	"(S. M�ller, 1842)"	R
Pteronetta hartlaubii	"(Cassin, 1859)"	R
Aix sponsa	"(Linnaeus, 1758)"	R
Aix galericulata	"(Linnaeus, 1758)"	R
Chenonetta jubata	"(Latham, 1801)"	R
Nettapus pulchellus	"Gould, 1842"	R
Nettapus coromandelianus	"(Gmelin, 1789)"	R
Nettapus auritus	"(Boddaert, 1783)"	R
Amazonetta brasiliensis	"(Gmelin, 1789)"	R
Callonetta leucophrys	"(Vieillot, 1816)"	R
Lophonetta specularioides	"King, 1828"	R
Speculanas specularis	"King, 1828"	R
Anas marecula	"Olson & Jouventin, 1996"	R
Anas theodori	"Newton & Gadow, 1893"	R
Anas capensis	"Gmelin, 1789"	R
Anas strepera	"Linnaeus, 1758"	R
Anas falcata	"Georgi, 1775"	R
Anas penelope	"Linnaeus, 1758"	R
Anas americana	"Gmelin, 1789"	R
Anas sibilatrix	"Poeppig, 1829"	R
Anas sparsa	"Eyton, 1838"	R
Anas rubripes	"Brewster, 1902"	R
Anas fulvigula	"Ridgway, 1874"	R
Anas platyrhynchos	"Linnaeus, 1758"	R
Anas oustaleti	"Salvadori, 1894"	NR
Anas diazi	"Ridgway, 1886"	NR
Anas wyvilliana	"Sclater, 1878"	R
Anas laysanensis	"Rothschild, 1892"	R
Anas poecilorhyncha	"Forster, 1781"	NR
Anas poecilorhyncha	"Forster, 1781"	R
Anas zonorhyncha	"Swinhoe, 1866"	R
Anas luzonica	"Fraser, 1839"	R
Anas superciliosa	"Gmelin, 1789"	R
Anas undulata	"Dubois, 1839"	R
Anas melleri	"P.L. Sclater, 1865"	R
Anas discors	"Linnaeus, 1766"	R
Anas cyanoptera	"Vieillot, 1816"	R
Anas smithii	"(Hartert, 1891)"	R
Anas platalea	"Vieillot, 1816"	R
Anas rhynchotis	"Latham, 1801"	R
Anas clypeata	"Linnaeus, 1758"	R
